battery  bun    cyc   ch  dis  imp        amb  capN  first   last    min  fade% EOL1.4 regen
--------------------------------------------------------------------------------------------
B0005    1      616  170  168  278         24   168  1.856  1.325  1.287   28.6   True    36
B0006    1      616  170  168  278         24   168  2.035  1.186  1.154   41.7   True    27
B0007    1      616  170  168  278         24   168  1.891  1.432  1.400   24.3  False    47
B0018    1      319  134  132   53         24   132  1.855  1.341  1.341   27.7   True    21
B0025    2       80   31   28   21         24    28  1.847  1.768  1.768    4.3  False     8
B0026    2       80   31   28   21         24    28  1.813  1.769  1.386    2.5   True     9
B0027    2       80   31   28   21         24    28  1.823  1.770  1.770    2.9  False     9
B0028    2       80   31   28   21         24    28  1.805  1.717  1.717    4.8  False     8
B0025    3       80   31   28   21         24    28  1.847  1.768  1.768    4.3  False     8
B0026    3       80   31   28   21         24    28  1.813  1.769  1.386    2.5   True     9
B0027    3       80   31   28   21         24    28  1.823  1.770  1.770    2.9  False     9
B0028    3       80   31   28   21         24    28  1.805  1.717  1.717    4.8  False     8
B0029    3       97   40   40   17         43    40  1.698  1.612  1.612    5.0  False     8
B0030    3       97   40   40   17         43    40  1.656  1.563  1.563    5.6  False     9
B0031    3       97   40   40   17         43    40  1.667  1.667  1.667   -0.0  False     9
B0032    3       97   40   40   17         43    40  1.705  1.636  1.636    4.1  False     9
B0033    3      486  197  197   92         24   197  0.068  1.315  0.068 -1822.2   True    84
B0034    3      486  197  197   92         24   197  0.746  1.280  0.746  -71.6   True    85
B0036    3      486  197  197   92         24   197  1.002  1.559  1.002  -55.6   True    65
B0038    3      122   47   47   28      24,44    47  0.898  1.530  0.898  -70.4   True    19
B0039    3      122   47   47   28      24,44    47  0.119  1.315  0.119 -1005.0   True    11
B0040    3      122   47   47   28      24,44    47  0.673  0.557  0.426   17.3   True    17
B0041    3      163   67   67   29       4,24    67  0.056  0.836  0.044 -1403.9   True    37
B0042    3      275  113  112   50    4,22,24   112  1.729  1.337  0.000   22.6   True    46
B0043    3      275  113  112   50    4,22,24   112  1.714  1.277  0.000   25.5   True    42
B0044    3      275  113  112   50    4,22,24   112  1.687  1.249  0.000   26.0   True    41
B0045    4      184   72   72   40       4,24    72  1.082  0.607  0.000   43.9   True    24
B0046    4      184   72   72   40       4,24    72  1.728  1.154  0.000   33.2   True    12
B0047    4      184   72   72   40       4,24    72  1.674  1.157  0.000   30.9   True    13
B0048    4      184   72   72   40       4,24    72  1.658  1.223  0.000   26.2   True    16
B0049    5       62   25   25   12       4,24    25  0.858  0.691  0.000   19.5   True     7
B0050    5       62   25   25   12       4,24    21  0.863  0.278  0.000   67.8   True    10
B0051    5       62   25   25   12       4,24    25  0.643  0.678  0.000   -5.3   True     8
B0052    5       62   25   25   12       4,24     4  0.861  1.352  0.861  -57.0   True     1
B0053    6      137   55   56   26       4,24    56  1.069  0.000  0.000  100.0   True    27
B0054    6      253  102  103   48       4,24   103  0.740  0.000  0.000  100.0   True    41
B0055    6      252  102  102   48       4,24   102  0.799  0.991  0.799  -24.0   True    40
B0056    6      252  102  102   48       4,24   102  0.785  1.129  0.785  -43.8   True    41
