indicator,measured on,n,pooled_pearson,pooled_spearman,per_battery_min,per_battery_max,sign_consistent,detrended_spearman,abs_spearman_with_cycle
v_mean_v,discharge,603,0.9612690627998058,0.9833870623998225,0.9834905030320842,0.9980223895922928,True,0.7411809057166728,0.8373513112696802
ica_p1_h,discharge,603,0.9638508844141371,0.9798113456829731,0.9886348389982111,0.9966167649640456,True,0.9578849699341103,0.8816896657841701
cc_duration_s,charge,603,0.9686871714037261,0.9706408708761117,0.9749161449016103,0.9981805507145345,True,0.9028568106910502,0.9182256980325344
energy_wh,discharge,603,0.9663730062239342,0.9681408582705271,0.9995919051878356,0.9998722159428866,True,0.9940829463778014,0.9138285350010269
cc_cv_ratio,charge,603,0.9554684038867457,0.9676138022347832,0.9135118515205727,0.9902858138724294,True,0.8270522127864793,0.8500375521803197
charge_ah,charge,603,0.9530744151323722,0.9573634106644398,0.9829550536672631,0.9983130010456603,True,0.9181057641026381,0.927558535164811
discharge_duration_s,discharge,603,0.9537585665047246,0.9561956456300377,0.9995192307692309,0.9999332140090296,True,0.9948838998535273,0.9077112681315989
ica_p1_v,discharge,603,0.8986814078242119,0.9501982415093524,0.9770766861130815,0.9950741751010724,True,0.262320880554653,0.753436915240334
ica_p2_h,discharge,502,0.9373047451213596,0.9451473044975608,0.9973713086207718,0.9993416344640045,True,0.9690434324815296,0.9056759159007127
cv_duration_s,charge,603,-0.8804548151796819,-0.8830801560157039,-0.9627431160683164,-0.7266938729874778,True,-0.6012640184810925,0.676352078298559
relax_duration_s,post-discharge,560,-0.8001002023364912,-0.7862455689174012,-0.992485757616217,-0.804142620036181,True,-0.7227313756153093,0.556086365634949
rct_ohm,impedance,561,-0.8186986379850356,-0.7807946010057626,-0.9863996704909768,-0.3622882959119381,True,-0.25858190864509745,0.5221087840342237
re_ohm,impedance,561,-0.7853555635469277,-0.7372763055024429,-0.969282707254006,-0.8032248376322336,True,-0.2730637133650918,0.42932453735140974
temp_rise_c,discharge,603,-0.6849715800544715,-0.6752283991584179,-0.9752597975048756,-0.7988672011153711,True,-0.6616471135494941,0.8093022619417207
v_recovery_v,post-discharge,560,-0.6701805837677266,-0.6375719355883516,-0.9618005907787147,-0.792480992844365,True,-0.6512550183131012,0.6769783090586471
temp_max_c,discharge,603,-0.5797023041629414,-0.58455697355339,-0.8884112948467932,-0.6702962704775183,True,-0.44945159541896074,0.7008920693270337
temp_mean_c,discharge,603,-0.4030350325270085,-0.4654864770994426,-0.6881254508054392,-0.00287902504472272,True,-0.2510177143426645,0.5275154230083493
v_cc_to_cv_v,charge,603,0.45498600112811927,0.3781123534600873,-0.4949631037567085,0.6953536804090307,False,0.005503777892853785,0.044404771328610725
idle_total_h,context,603,0.07391766993190385,-0.3683958662609632,-0.6527047751829905,-0.2934149896791072,True,0.14185320449427213,0.4987055113874458
charge_temp_max_c,charge,603,0.10267573393374957,0.03112104435688272,-0.3348222156920365,0.10465675313059035,False,-0.21900668759754352,0.01916865332470458
